Treatment ,ID,Week,Cercs,Schisto inf,Schisto fact,Meta inf,Meta fact,Total inf,Total fact,Metas
S,S30,3,NA,0,ap,NA,ap,NA,ap,NA
S,S31,3,199,1,p,NA,ap,NA,ones,NA
S,S32,3,0,0,ap,NA,ap,NA,ap,NA
S,S33,3,0,0,ap,NA,ap,NA,ap,NA
S,S34,3,264,1,p,NA,ap,NA,ones,NA
S,S35,3,0,0,ap,NA,ap,NA,ap,NA
S,S36,3,0,0,ap,NA,ap,NA,ap,NA
S,S37,3,0,0,ap,NA,ap,NA,ap,NA
S,S38,3,NA,1,p,NA,ap,NA,ones,NA
S,S39,3,NA,0,ap,NA,ap,NA,ap,NA
S,S40,3,0,0,ap,NA,ap,NA,ap,NA
S,S1,4,0,0,ap,NA,ap,NA,ap,NA
S,S2,4,394,1,p,NA,ap,NA,ones,NA
S,S3,4,NA,0,ap,NA,ap,NA,ap,NA
S,S4,4,0,0,ap,NA,ap,NA,ap,NA
S,S5,4,NA,0,ap,NA,ap,NA,ap,NA
S,S6,4,NA,0,ap,NA,ap,NA,ap,NA
S,S7,4,287,1,p,NA,ap,NA,ones,NA
S,S8,4,NA,0,ap,NA,ap,NA,ap,NA
S,S9,4,NA,1,p,NA,ap,NA,ones,NA
S,S10,4,0,0,ap,NA,ap,NA,ap,NA
S,S11,4,247,1,p,NA,ap,NA,ones,NA
S,S12,4,396,1,p,NA,ap,NA,ones,NA
S,S13,4,NA,0,ap,NA,ap,NA,ap,NA
S,S14,4,0,0,ap,NA,ap,NA,ap,NA
S,S15,4,287,1,p,NA,ap,NA,ones,NA
S,S16,4,349,1,p,NA,ap,NA,ones,NA
S,S17,4,0,0,ap,NA,ap,NA,ap,NA
S,S18,4,323,1,p,NA,ap,NA,ones,NA
S,S19,4,0,0,ap,NA,ap,NA,ap,NA
S,S20,4,0,0,ap,NA,ap,NA,ap,NA
S,S21,4,NA,1,p,NA,ap,NA,ones,NA
S,S22,4,183,1,p,NA,ap,NA,ones,NA
S,S23,4,179,1,p,NA,ap,NA,ones,NA
S,S24,4,337,1,p,NA,ap,NA,ones,NA
S,S25,4,NA,0,ap,NA,ap,NA,ap,NA
S,S26,4,NA,1,p,NA,ap,NA,ones,NA
S,S27,4,238,1,p,NA,ap,NA,ones,NA
S,S28,4,265,1,p,NA,ap,NA,ones,NA
S,S29,4,NA,0,ap,NA,ap,NA,ap,NA
S,S30,4,NA,0,ap,NA,ap,NA,ap,NA
S,S31,4,266,1,p,NA,ap,NA,ones,NA
S,S32,4,0,0,ap,NA,ap,NA,ap,NA
S,S33,4,0,0,ap,NA,ap,NA,ap,NA
S,S34,4,356,1,p,NA,ap,NA,ones,NA
S,S35,4,0,0,ap,NA,ap,NA,ap,NA
S,S36,4,0,0,ap,NA,ap,NA,ap,NA
S,S37,4,0,0,ap,NA,ap,NA,ap,NA
S,S38,4,NA,1,p,NA,ap,NA,ones,NA
S,S39,4,NA,0,ap,NA,ap,NA,ap,NA
S,S40,4,0,0,ap,NA,ap,NA,ap,NA
S,S1,5,0,0,ap,NA,ap,NA,ap,NA
S,S2,5,NA,1,p,NA,ap,NA,ones,NA
S,S3,5,NA,0,ap,NA,ap,NA,ap,NA
S,S4,5,0,0,ap,NA,ap,NA,ap,NA
S,S5,5,NA,0,ap,NA,ap,NA,ap,NA
S,S6,5,NA,0,ap,NA,ap,NA,ap,NA
S,S7,5,235,1,p,NA,ap,NA,ones,NA
S,S8,5,NA,0,ap,NA,ap,NA,ap,NA
S,S9,5,NA,1,p,NA,ap,NA,ones,NA
S,S10,5,0,0,ap,NA,ap,NA,ap,NA
S,S11,5,263,1,p,NA,ap,NA,ones,NA
S,S12,5,384,1,p,NA,ap,NA,ones,NA
S,S13,5,NA,0,ap,NA,ap,NA,ap,NA
S,S14,5,0,0,ap,NA,ap,NA,ap,NA
S,S15,5,266,1,p,NA,ap,NA,ones,NA
S,S16,5,358,1,p,NA,ap,NA,ones,NA
S,S17,5,0,0,ap,NA,ap,NA,ap,NA
S,S18,5,202,1,p,NA,ap,NA,ones,NA
S,S19,5,0,0,ap,NA,ap,NA,ap,NA
S,S20,5,0,0,ap,NA,ap,NA,ap,NA
S,S21,5,NA,1,p,NA,ap,NA,ones,NA
S,S22,5,203,1,p,NA,ap,NA,ones,NA
S,S23,5,34,1,p,NA,ap,NA,ones,NA
S,S24,5,246,1,p,NA,ap,NA,ones,NA
S,S25,5,NA,0,ap,NA,ap,NA,ap,NA
S,S26,5,NA,1,p,NA,ap,NA,ones,NA
S,S27,5,183,1,p,NA,ap,NA,ones,NA
S,S28,5,128,1,p,NA,ap,NA,ones,NA
S,S29,5,NA,0,ap,NA,ap,NA,ap,NA
S,S30,5,NA,0,ap,NA,ap,NA,ap,NA
S,S31,5,184,1,p,NA,ap,NA,ones,NA
S,S32,5,0,0,ap,NA,ap,NA,ap,NA
S,S33,5,0,0,ap,NA,ap,NA,ap,NA
S,S34,5,317,1,p,NA,ap,NA,ones,NA
S,S35,5,0,0,ap,NA,ap,NA,ap,NA
S,S36,5,0,0,ap,NA,ap,NA,ap,NA
S,S37,5,NA,0,ap,NA,ap,NA,ap,NA
S,S38,5,NA,1,p,NA,ap,NA,ones,NA
S,S39,5,NA,0,ap,NA,ap,NA,ap,NA
S,S40,5,0,0,ap,NA,ap,NA,ap,NA
S,S1,6,0,0,ap,NA,ap,NA,ap,NA
S,S2,6,NA,1,p,NA,ap,NA,ones,NA
S,S3,6,NA,0,ap,NA,ap,NA,ap,NA
S,S4,6,0,0,ap,NA,ap,NA,ap,NA
S,S5,6,NA,0,ap,NA,ap,NA,ap,NA
S,S6,6,NA,0,ap,NA,ap,NA,ap,NA
S,S7,6,NA,1,p,NA,ap,NA,ones,NA
S,S8,6,NA,0,ap,NA,ap,NA,ap,NA
S,S9,6,NA,1,p,NA,ap,NA,ones,NA
S,S10,6,0,0,ap,NA,ap,NA,ap,NA
S,S11,6,481,1,p,NA,ap,NA,ones,NA
S,S12,6,356,1,p,NA,ap,NA,ones,NA
S,S13,6,NA,0,ap,NA,ap,NA,ap,NA
S,S14,6,0,0,ap,NA,ap,NA,ap,NA
S,S15,6,338,1,p,NA,ap,NA,ones,NA
S,S16,6,329,1,p,NA,ap,NA,ones,NA
S,S17,6,0,0,ap,NA,ap,NA,ap,NA
S,S18,6,232,1,p,NA,ap,NA,ones,NA
S,S19,6,0,0,ap,NA,ap,NA,ap,NA
S,S20,6,0,0,ap,NA,ap,NA,ap,NA
S,S21,6,NA,1,p,NA,ap,NA,ones,NA
S,S22,6,NA,1,p,NA,ap,NA,ones,NA
S,S23,6,NA,1,p,NA,ap,NA,ones,NA
S,S24,6,385,1,p,NA,ap,NA,ones,NA
S,S25,6,NA,0,ap,NA,ap,NA,ap,NA
S,S26,6,NA,1,p,NA,ap,NA,ones,NA
S,S27,6,304,1,p,NA,ap,NA,ones,NA
S,S28,6,172,1,p,NA,ap,NA,ones,NA
S,S29,6,NA,0,ap,NA,ap,NA,ap,NA
S,S30,6,NA,0,ap,NA,ap,NA,ap,NA
S,S31,6,214,1,p,NA,ap,NA,ones,NA
S,S32,6,0,0,ap,NA,ap,NA,ap,NA
S,S33,6,0,0,ap,NA,ap,NA,ap,NA
S,S34,6,377,1,p,NA,ap,NA,ones,NA
S,S35,6,0,0,ap,NA,ap,NA,ap,NA
S,S36,6,0,0,ap,NA,ap,NA,ap,NA
S,S37,6,NA,0,ap,NA,ap,NA,ap,NA
S,S38,6,NA,1,p,NA,ap,NA,ones,NA
S,S39,6,NA,0,ap,NA,ap,NA,ap,NA
S,S40,6,0,0,ap,NA,ap,NA,ap,NA
S,S1,7,0,0,ap,NA,ap,NA,ap,NA
S,S2,7,NA,1,p,NA,ap,NA,ones,NA
S,S3,7,NA,0,ap,NA,ap,NA,ap,NA
S,S4,7,0,0,ap,NA,ap,NA,ap,NA
S,S5,7,NA,0,ap,NA,ap,NA,ap,NA
S,S6,7,NA,0,ap,NA,ap,NA,ap,NA
S,S7,7,NA,1,p,NA,ap,NA,ones,NA
S,S8,7,NA,0,ap,NA,ap,NA,ap,NA
S,S9,7,NA,1,p,NA,ap,NA,ones,NA
S,S10,7,0,0,ap,NA,ap,NA,ap,NA
S,S11,7,NA,1,p,NA,ap,NA,ones,NA
S,S12,7,214,1,p,NA,ap,NA,ones,NA
S,S13,7,NA,0,ap,NA,ap,NA,ap,NA
S,S14,7,0,0,ap,NA,ap,NA,ap,NA
S,S15,7,331,1,p,NA,ap,NA,ones,NA
S,S16,7,NA,1,p,NA,ap,NA,ones,NA
S,S17,7,0,0,ap,NA,ap,NA,ap,NA
S,S18,7,257,1,p,NA,ap,NA,ones,NA
S,S19,7,0,0,ap,NA,ap,NA,ap,NA
S,S20,7,0,0,ap,NA,ap,NA,ap,NA
S,S21,7,NA,1,p,NA,ap,NA,ones,NA
S,S22,7,NA,1,p,NA,ap,NA,ones,NA
S,S23,7,NA,1,p,NA,ap,NA,ones,NA
S,S24,7,208,1,p,NA,ap,NA,ones,NA
S,S25,7,NA,0,ap,NA,ap,NA,ap,NA
S,S26,7,NA,1,p,NA,ap,NA,ones,NA
S,S27,7,30,1,p,NA,ap,NA,ones,NA
S,S28,7,NA,1,p,NA,ap,NA,ones,NA
S,S29,7,NA,0,ap,NA,ap,NA,ap,NA
S,S30,7,NA,0,ap,NA,ap,NA,ap,NA
S,S31,7,188,1,p,NA,ap,NA,ones,NA
S,S32,7,NA,0,ap,NA,ap,NA,ap,NA
S,S33,7,0,0,ap,NA,ap,NA,ap,NA
S,S34,7,198,1,p,NA,ap,NA,ones,NA
S,S35,7,0,0,ap,NA,ap,NA,ap,NA
S,S36,7,0,0,ap,NA,ap,NA,ap,NA
S,S37,7,NA,0,ap,NA,ap,NA,ap,NA
S,S38,7,NA,1,p,NA,ap,NA,ones,NA
S,S39,7,NA,0,ap,NA,ap,NA,ap,NA
S,S40,7,0,0,ap,NA,ap,NA,ap,NA
T1,T1.1,1,0,1,p,1,p,2,p,1
T1,T1.2,1,NA,0,ap,1,p,1,onem,6
T1,T1.3,1,0,0,ap,1,p,1,onem,3
T1,T1.4,1,0,0,ap,1,p,1,onem,2
T1,T1.5,1,NA,0,ap,1,p,1,onem,4
T1,T1.6,1,0,0,ap,1,p,1,onem,2
T1,T1.7,1,0,0,ap,1,p,1,onem,3
T1,T1.8,1,16,1,p,1,p,2,p,2
T1,T1.9,1,3,1,p,1,p,2,p,1
T1,T1.10,1,0,0,ap,1,p,1,onem,2
T1,T1.11,1,NA,0,ap,1,p,1,onem,4
T1,T1.12,1,0,0,ap,1,p,1,onem,1
T1,T1.13,1,1,1,p,0,ap,1,ones,0
T1,T1.14,1,0,0,ap,1,p,1,onem,3
T1,T1.15,1,0,0,ap,1,p,1,onem,2
T1,T1.16,1,0,0,ap,1,p,1,onem,1
T1,T1.17,1,NA,0,ap,1,p,1,onem,5
T1,T1.18,1,0,0,ap,0,ap,0,ap,0
T1,T1.19,1,0,1,p,0,ap,1,ones,0
T1,T1.20,1,0,0,ap,0,ap,0,ap,0
T1,T1.21,1,0,0,ap,0,ap,0,ap,0
T1,T1.22,1,20,1,p,1,p,2,p,1
T1,T1.23,1,0,0,ap,0,ap,0,ap,0
T1,T1.24,1,0,0,ap,1,p,1,onem,3
T1,T1.25,1,16,1,p,1,p,2,p,6
T1,T1.26,1,NA,0,ap,1,p,1,onem,5
T1,T1.27,1,0,0,ap,0,ap,0,ap,0
T1,T1.28,1,10,1,p,1,p,2,p,4
T1,T1.29,1,0,0,ap,0,ap,0,ap,0
T1,T1.30,1,0,0,ap,0,ap,0,ap,0
T1,T1.32,1,0,1,p,1,p,2,p,2
T1,T1.33,1,NA,0,ap,1,p,1,onem,3
T1,T1.34,1,0,0,ap,1,p,1,onem,2
T1,T1.35,1,0,0,ap,0,ap,0,ap,0
T1,T1.36,1,0,1,p,1,p,2,p,2
T1,T1.37,1,9,1,p,1,p,2,p,1
T1,T1.38,1,0,0,ap,0,ap,0,ap,0
T1,T1.39,1,0,0,ap,1,p,1,onem,1
T1,T1.40,1,0,0,ap,1,p,1,onem,3
T1,T1.1,2,12,1,p,1,p,2,p,1
T1,T1.2,2,NA,0,ap,1,p,1,onem,6
T1,T1.3,2,0,0,ap,1,p,1,onem,3
T1,T1.4,2,0,0,ap,1,p,1,onem,2
T1,T1.5,2,NA,0,ap,1,p,1,onem,4
T1,T1.6,2,0,0,ap,1,p,1,onem,2
T1,T1.7,2,0,0,ap,1,p,1,onem,3
T1,T1.8,2,316,1,p,1,p,2,p,2
T1,T1.9,2,147,1,p,1,p,2,p,1
T1,T1.10,2,0,0,ap,1,p,1,onem,2
T1,T1.11,2,NA,0,ap,1,p,1,onem,4
T1,T1.12,2,0,0,ap,1,p,1,onem,1
T1,T1.13,2,69,1,p,0,ap,1,ones,0
T1,T1.14,2,0,0,ap,1,p,1,onem,3
T1,T1.15,2,0,0,ap,1,p,1,onem,2
T1,T1.16,2,0,0,ap,1,p,1,onem,1
T1,T1.17,2,NA,0,ap,1,p,1,onem,5
T1,T1.18,2,0,0,ap,0,ap,0,ap,0
T1,T1.19,2,0,1,p,0,ap,1,ones,0
T1,T1.20,2,0,0,ap,0,ap,0,ap,0
T1,T1.21,2,0,0,ap,0,ap,0,ap,0
T1,T1.22,2,413,1,p,1,p,2,p,1
T1,T1.23,2,0,0,ap,0,ap,0,ap,0
T1,T1.24,2,0,0,ap,1,p,1,onem,3
T1,T1.25,2,164,1,p,1,p,2,p,6
T1,T1.26,2,NA,0,ap,1,p,1,onem,5
T1,T1.27,2,0,0,ap,0,ap,0,ap,0
T1,T1.28,2,175,1,p,1,p,2,p,4
T1,T1.29,2,0,0,ap,0,ap,0,ap,0
T1,T1.30,2,0,0,ap,0,ap,0,ap,0
T1,T1.32,2,24,1,p,1,p,2,p,2
T1,T1.33,2,NA,0,ap,1,p,1,onem,3
T1,T1.34,2,0,0,ap,1,p,1,onem,2
T1,T1.35,2,0,0,ap,0,ap,0,ap,0
T1,T1.36,2,82,1,p,1,p,2,p,2
T1,T1.37,2,248,1,p,1,p,2,p,1
T1,T1.38,2,0,0,ap,0,ap,0,ap,0
T1,T1.39,2,0,0,ap,1,p,1,onem,1
T1,T1.40,2,0,0,ap,1,p,1,onem,3
T1,T1.1,3,19,1,p,1,p,2,p,1
T1,T1.2,3,NA,0,ap,1,p,1,onem,6
T1,T1.3,3,0,0,ap,1,p,1,onem,3
T1,T1.4,3,0,0,ap,1,p,1,onem,2
T1,T1.5,3,NA,0,ap,1,p,1,onem,4
T1,T1.6,3,0,0,ap,1,p,1,onem,2
T1,T1.7,3,0,0,ap,1,p,1,onem,3
T1,T1.8,3,NA,1,p,1,p,2,p,2
T1,T1.9,3,281,1,p,1,p,2,p,1
T1,T1.10,3,0,0,ap,1,p,1,onem,2
T1,T1.11,3,NA,0,ap,1,p,1,onem,4
T1,T1.12,3,0,0,ap,1,p,1,onem,1
T1,T1.13,3,119,1,p,0,ap,1,ones,0
T1,T1.14,3,0,0,ap,1,p,1,onem,3
T1,T1.15,3,0,0,ap,1,p,1,onem,2
T1,T1.16,3,0,0,ap,1,p,1,onem,1
T1,T1.17,3,NA,0,ap,1,p,1,onem,5
T1,T1.18,3,0,0,ap,0,ap,0,ap,0
T1,T1.19,3,0,1,p,0,ap,1,ones,0
T1,T1.20,3,0,0,ap,0,ap,0,ap,0
T1,T1.21,3,0,0,ap,0,ap,0,ap,0
T1,T1.22,3,312,1,p,1,p,2,p,1
T1,T1.23,3,0,0,ap,0,ap,0,ap,0
T1,T1.24,3,0,0,ap,1,p,1,onem,3
T1,T1.25,3,0,1,p,1,p,2,p,6
T1,T1.26,3,NA,0,ap,1,p,1,onem,5
T1,T1.27,3,0,0,ap,0,ap,0,ap,0
T1,T1.28,3,145,1,p,1,p,2,p,4
T1,T1.29,3,0,0,ap,0,ap,0,ap,0
T1,T1.30,3,0,0,ap,0,ap,0,ap,0
T1,T1.32,3,299,1,p,1,p,2,p,2
T1,T1.33,3,NA,0,ap,1,p,1,onem,3
T1,T1.34,3,0,0,ap,1,p,1,onem,2
T1,T1.35,3,0,0,ap,0,ap,0,ap,0
T1,T1.36,3,463,1,p,1,p,2,p,2
T1,T1.37,3,309,1,p,1,p,2,p,1
T1,T1.38,3,0,0,ap,0,ap,0,ap,0
T1,T1.39,3,0,0,ap,1,p,1,onem,1
T1,T1.40,3,0,0,ap,1,p,1,onem,3
T1,T1.1,4,71,1,p,1,p,2,p,1
T1,T1.2,4,NA,0,ap,1,p,1,onem,6
T1,T1.3,4,0,0,ap,1,p,1,onem,3
T1,T1.4,4,0,0,ap,1,p,1,onem,2
T1,T1.5,4,NA,0,ap,1,p,1,onem,4
T1,T1.6,4,0,0,ap,1,p,1,onem,2
T1,T1.7,4,0,0,ap,1,p,1,onem,3
T1,T1.8,4,312,1,p,1,p,2,p,2
T1,T1.9,4,277,1,p,1,p,2,p,1
T1,T1.10,4,0,0,ap,1,p,1,onem,2
T1,T1.11,4,NA,0,ap,1,p,1,onem,4
T1,T1.12,4,0,0,ap,1,p,1,onem,1
T1,T1.13,4,94,1,p,0,ap,1,ones,0
T1,T1.14,4,0,0,ap,1,p,1,onem,3
T1,T1.15,4,0,0,ap,1,p,1,onem,2
T1,T1.16,4,0,0,ap,1,p,1,onem,1
T1,T1.17,4,NA,0,ap,1,p,1,onem,5
T1,T1.18,4,0,0,ap,0,ap,0,ap,0
T1,T1.19,4,22,1,p,0,ap,1,ones,0
T1,T1.20,4,0,0,ap,0,ap,0,ap,0
T1,T1.21,4,0,0,ap,0,ap,0,ap,0
T1,T1.22,4,298,1,p,1,p,2,p,1
T1,T1.23,4,0,0,ap,0,ap,0,ap,0
T1,T1.24,4,0,0,ap,1,p,1,onem,3
T1,T1.25,4,NA,1,p,1,p,2,p,6
T1,T1.26,4,NA,0,ap,1,p,1,onem,5
T1,T1.27,4,0,0,ap,0,ap,0,ap,0
T1,T1.28,4,192,1,p,1,p,2,p,4
T1,T1.29,4,0,0,ap,0,ap,0,ap,0
T1,T1.30,4,0,0,ap,0,ap,0,ap,0
T1,T1.32,4,221,1,p,1,p,2,p,2
T1,T1.33,4,NA,0,ap,1,p,1,onem,3
T1,T1.34,4,0,0,ap,1,p,1,onem,2
T1,T1.35,4,0,0,ap,0,ap,0,ap,0
T1,T1.36,4,0,1,p,1,p,2,p,2
T1,T1.37,4,109,1,p,1,p,2,p,1
T1,T1.38,4,0,0,ap,0,ap,0,ap,0
T1,T1.39,4,0,0,ap,1,p,1,onem,1
T1,T1.40,4,0,0,ap,1,p,1,onem,3
T1,T1.1,5,17,1,p,1,p,2,p,1
T1,T1.2,5,NA,0,ap,1,p,1,onem,6
T1,T1.3,5,0,0,ap,1,p,1,onem,3
T1,T1.4,5,0,0,ap,1,p,1,onem,2
T1,T1.5,5,NA,0,ap,1,p,1,onem,4
T1,T1.6,5,0,0,ap,1,p,1,onem,2
T1,T1.7,5,0,0,ap,1,p,1,onem,3
T1,T1.8,5,228,1,p,1,p,2,p,2
T1,T1.9,5,356,1,p,1,p,2,p,1
T1,T1.10,5,0,0,ap,1,p,1,onem,2
T1,T1.11,5,NA,0,ap,1,p,1,onem,4
T1,T1.12,5,0,0,ap,1,p,1,onem,1
T1,T1.13,5,NA,1,p,0,ap,1,ones,0
T1,T1.14,5,0,0,ap,1,p,1,onem,3
T1,T1.15,5,0,0,ap,1,p,1,onem,2
T1,T1.16,5,0,0,ap,1,p,1,onem,1
T1,T1.17,5,NA,0,ap,1,p,1,onem,5
T1,T1.18,5,0,0,ap,0,ap,0,ap,0
T1,T1.19,5,107,1,p,0,ap,1,ones,0
T1,T1.20,5,0,0,ap,0,ap,0,ap,0
T1,T1.21,5,0,0,ap,0,ap,0,ap,0
T1,T1.22,5,220,1,p,1,p,2,p,1
T1,T1.23,5,0,0,ap,0,ap,0,ap,0
T1,T1.24,5,0,0,ap,1,p,1,onem,3
T1,T1.25,5,NA,1,p,1,p,2,p,6
T1,T1.26,5,NA,0,ap,1,p,1,onem,5
T1,T1.27,5,0,0,ap,0,ap,0,ap,0
T1,T1.28,5,62,1,p,1,p,2,p,4
T1,T1.29,5,0,0,ap,0,ap,0,ap,0
T1,T1.30,5,0,0,ap,0,ap,0,ap,0
T1,T1.32,5,0,1,p,1,p,2,p,2
T1,T1.33,5,NA,0,ap,1,p,1,onem,3
T1,T1.34,5,NA,0,ap,1,p,1,onem,2
T1,T1.35,5,0,0,ap,0,ap,0,ap,0
T1,T1.36,5,NA,1,p,1,p,2,p,2
T1,T1.37,5,318,1,p,1,p,2,p,1
T1,T1.38,5,0,0,ap,0,ap,0,ap,0
T1,T1.39,5,0,0,ap,1,p,1,onem,1
T1,T1.40,5,0,0,ap,1,p,1,onem,3
T1,T1.1,6,19,1,p,1,p,2,p,1
T1,T1.2,6,NA,0,ap,1,p,1,onem,6
T1,T1.3,6,0,0,ap,1,p,1,onem,3
T1,T1.4,6,0,0,ap,1,p,1,onem,2
T1,T1.5,6,NA,0,ap,1,p,1,onem,4
T1,T1.6,6,0,0,ap,1,p,1,onem,2
T1,T1.7,6,0,0,ap,1,p,1,onem,3
T1,T1.8,6,NA,1,p,1,p,2,p,2
T1,T1.9,6,329,1,p,1,p,2,p,1
T1,T1.10,6,0,0,ap,1,p,1,onem,2
T1,T1.11,6,NA,0,ap,1,p,1,onem,4
T1,T1.12,6,0,0,ap,1,p,1,onem,1
